amount,category,merchant,hour,day,timestamp
24.99,Food,Starbucks,8,1,2026-07-01 08:15:00
142.50,Groceries,Whole Foods,18,1,2026-07-01 18:30:00
9.99,Entertainment,Netflix,20,1,2026-07-01 20:00:00
55.00,Transport,Uber,22,1,2026-07-01 22:10:00
32.50,Food,Chipotle,12,2,2026-07-02 12:30:00
18.75,Food,Subway,13,2,2026-07-02 13:15:00
89.99,Bills,Verizon,10,3,2026-07-03 10:00:00
15.00,Entertainment,Spotify,9,3,2026-07-03 09:00:00
67.50,Groceries,Trader Joes,17,4,2026-07-04 17:45:00
12.99,Food,Dominos,19,4,2026-07-04 19:20:00
45.00,Transport,Lyft,23,5,2026-07-05 23:05:00
22.50,Food,Starbucks,7,5,2026-07-05 07:45:00
8.50,Food,McDonalds,12,6,2026-07-06 12:00:00
210.00,Shopping,Target,15,6,2026-07-06 15:30:00
99.00,Entertainment,AMC Theatres,21,6,2026-07-06 21:00:00
175.00,Bills,Electric Co,10,7,2026-07-07 10:00:00
42.00,Transport,Shell Gas,16,7,2026-07-07 16:20:00
28.00,Food,Panera Bread,11,8,2026-07-08 11:30:00
56.75,Groceries,Costco,14,8,2026-07-08 14:00:00
19.99,Entertainment,Apple Music,20,8,2026-07-08 20:00:00
35.00,Food,Chick-fil-a,12,9,2026-07-09 12:15:00
95.00,Shopping,Walmart,13,9,2026-07-09 13:00:00
63.25,Bills,Internet Bill,10,10,2026-07-10 10:00:00
27.50,Food,Panda Express,18,10,2026-07-10 18:30:00
41.00,Transport,Uber,21,11,2026-07-11 21:45:00
18.25,Food,Taco Bell,19,11,2026-07-11 19:00:00
120.00,Groceries,Safeway,10,12,2026-07-12 10:30:00
14.99,Entertainment,Hulu,20,12,2026-07-12 20:00:00
52.00,Bills,Water Bill,10,13,2026-07-13 10:00:00
29.99,Food,Subway,12,13,2026-07-13 12:00:00
78.50,Shopping,Best Buy,15,14,2026-07-14 15:00:00
33.00,Food,Wendys,13,14,2026-07-14 13:30:00
47.50,Transport,Shell Gas,8,15,2026-07-15 08:00:00
21.00,Food,Starbucks,7,15,2026-07-15 07:30:00
