amount,category,merchant,hour,day,timestamp,is_anomaly
721.54,Shopping,Meesho,21,3,2026-06-01 21:00:00,0
217.14,Entertainment,Netflix,12,3,2026-06-02 12:00:00,0
905.39,Bills,GooglePay,14,0,2026-06-03 14:00:00,0
992.53,Shopping,Amazon,11,1,2026-06-04 11:00:00,0
177.49,Food,Swiggy,10,0,2026-06-05 10:00:00,0
10.0,Food,KFC,8,5,2026-06-06 08:00:00,0
196.57,Food,Local Cafe,12,3,2026-06-07 12:00:00,0
288.77,Entertainment,Hotstar,12,4,2026-06-08 12:00:00,0
464.31,Bills,PhonePe,17,4,2026-06-09 17:00:00,0
676.32,Bills,Jio,21,2,2026-06-10 21:00:00,0
111.67,Food,KFC,7,6,2026-06-11 07:00:00,0
181.43,Entertainment,Hotstar,15,0,2026-06-12 15:00:00,0
10.0,Travel,Ola,18,0,2026-06-13 18:00:00,0
201.04,Food,Swiggy,17,2,2026-06-14 17:00:00,0
176.15,Food,Local Cafe,12,2,2026-06-15 12:00:00,0
143.51,Food,Swiggy,19,2,2026-06-16 19:00:00,0
75.3,Food,Local Cafe,9,3,2026-06-17 09:00:00,0
735.26,Shopping,Amazon,10,5,2026-06-18 10:00:00,0
315.54,Shopping,Meesho,18,0,2026-06-19 18:00:00,0
176.63,Food,KFC,17,3,2026-06-20 17:00:00,0
860.2,Bills,PhonePe,10,2,2026-06-21 10:00:00,0
140.93,Food,Dominos,9,0,2026-06-22 09:00:00,0
293.54,Food,KFC,16,3,2026-06-23 16:00:00,0
674.21,Shopping,Ajio,9,5,2026-06-24 09:00:00,0
74.42,Shopping,Ajio,21,3,2026-06-25 21:00:00,0
338.07,Travel,Ola,9,5,2026-06-26 09:00:00,0
206.4,Food,Zomato,10,2,2026-06-27 10:00:00,0
608.28,Shopping,Ajio,13,5,2026-06-28 13:00:00,0
316.9,Shopping,Meesho,10,0,2026-06-29 10:00:00,0
124.71,Food,Dominos,15,2,2026-06-30 15:00:00,0
634.09,Bills,Paytm,7,0,2026-07-01 07:00:00,0
38.1,Food,Zomato,14,4,2026-07-02 14:00:00,0
123.79,Food,Swiggy,13,1,2026-07-03 13:00:00,0
113.84,Entertainment,Netflix,8,5,2026-07-04 08:00:00,0
160.79,Entertainment,YouTube,14,1,2026-07-05 14:00:00,0
10.0,Travel,RedBus,7,1,2026-07-06 07:00:00,0
10.0,Food,KFC,17,5,2026-07-07 17:00:00,0
177.64,Food,Swiggy,18,2,2026-07-08 18:00:00,0
662.91,Bills,Paytm,15,4,2026-07-09 15:00:00,0
259.32,Shopping,Amazon,15,0,2026-07-10 15:00:00,0
96.98,Food,Zomato,8,3,2026-07-11 08:00:00,0
456.06,Shopping,Meesho,13,0,2026-07-12 13:00:00,0
215.43,Food,Local Cafe,21,3,2026-07-13 21:00:00,0
94.54,Entertainment,Netflix,20,0,2026-07-14 20:00:00,0
114.66,Food,Swiggy,16,5,2026-07-15 16:00:00,0
766.33,Bills,PhonePe,9,4,2026-07-16 09:00:00,0
104.02,Food,Dominos,13,3,2026-07-17 13:00:00,0
373.55,Shopping,Flipkart,18,6,2026-07-18 18:00:00,0
842.85,Shopping,Myntra,16,2,2026-07-19 16:00:00,0
210.15,Food,Swiggy,15,0,2026-07-20 15:00:00,0
