amount,category,merchant,hour,day,timestamp,is_anomaly
119.07,Food,Dominos,19,1,2026-06-01 19:00:00,0
1463.62,Bills,Paytm,7,2,2026-06-02 07:00:00,0
276.32,Food,KFC,21,3,2026-06-03 21:00:00,0
100.61,Food,KFC,18,6,2026-06-04 18:00:00,0
216.25,Food,Zomato,20,1,2026-06-05 20:00:00,0
426.63,Entertainment,Netflix,16,0,2026-06-06 16:00:00,0
537.64,Bills,Airtel,11,1,2026-06-07 11:00:00,0
777.54,Shopping,Ajio,7,0,2026-06-08 07:00:00,0
126.92,Food,KFC,15,5,2026-06-09 15:00:00,0
372.91,Bills,PhonePe,17,1,2026-06-10 17:00:00,0
370.07,Shopping,Meesho,15,4,2026-06-11 15:00:00,0
617.71,Travel,Ola,8,1,2026-06-12 08:00:00,0
220.03,Food,Dominos,15,1,2026-06-13 15:00:00,0
7500.0,Food,Unknown Merchant,3,3,2026-06-14 03:00:00,1
307.21,Entertainment,JioCinema,13,3,2026-06-15 13:00:00,0
85.67,Food,KFC,7,0,2026-06-16 07:00:00,0
435.86,Shopping,Amazon,21,2,2026-06-17 21:00:00,0
180.4,Food,Dominos,9,0,2026-06-18 09:00:00,0
209.97,Food,KFC,8,1,2026-06-19 08:00:00,0
307.55,Travel,IRCTC,12,1,2026-06-20 12:00:00,0
409.87,Travel,RedBus,16,4,2026-06-21 16:00:00,0
172.38,Entertainment,Hotstar,16,2,2026-06-22 16:00:00,0
791.5,Shopping,Amazon,16,3,2026-06-23 16:00:00,0
229.21,Entertainment,YouTube,7,0,2026-06-24 07:00:00,0
269.6,Shopping,Flipkart,20,4,2026-06-25 20:00:00,0
4200.0,Shopping,Unknown Merchant,2,3,2026-06-26 02:00:00,1
10.0,Food,Dominos,12,0,2026-06-27 12:00:00,0
2800.0,Bills,Unknown Merchant,4,5,2026-06-28 04:00:00,1
100.99,Food,Local Cafe,12,2,2026-06-29 12:00:00,0
104.3,Food,Zomato,15,2,2026-06-30 15:00:00,0
107.17,Food,KFC,10,2,2026-07-01 10:00:00,0
894.3,Shopping,Amazon,9,1,2026-07-02 09:00:00,0
595.42,Shopping,Myntra,20,3,2026-07-03 20:00:00,0
1197.96,Bills,PhonePe,7,5,2026-07-04 07:00:00,0
303.72,Entertainment,Spotify,20,0,2026-07-05 20:00:00,0
360.73,Entertainment,JioCinema,20,4,2026-07-06 20:00:00,0
10.0,Entertainment,YouTube,12,2,2026-07-07 12:00:00,0
99.05,Shopping,Meesho,12,6,2026-07-08 12:00:00,0
144.72,Food,Local Cafe,7,2,2026-07-09 07:00:00,0
246.61,Food,Swiggy,8,3,2026-07-10 08:00:00,0
20.65,Entertainment,JioCinema,10,5,2026-07-11 10:00:00,0
1002.68,Shopping,Myntra,12,0,2026-07-12 12:00:00,0
128.63,Entertainment,Netflix,17,1,2026-07-13 17:00:00,0
640.86,Bills,Airtel,19,2,2026-07-14 19:00:00,0
104.64,Bills,Jio,18,0,2026-07-15 18:00:00,0
161.89,Food,Swiggy,17,1,2026-07-16 17:00:00,0
56.22,Entertainment,Spotify,12,2,2026-07-17 12:00:00,0
316.09,Food,Local Cafe,9,5,2026-07-18 09:00:00,0
10.0,Shopping,Ajio,7,2,2026-07-19 07:00:00,0
210.41,Entertainment,Hotstar,18,0,2026-07-20 18:00:00,0
