amount,category,merchant,hour,day,timestamp
24.99,Food,Starbucks,8,1,2026-07-01 08:15:00
4999.99,Shopping,Unknown Vendor,3,1,2026-07-01 03:15:00
142.50,Groceries,Whole Foods,18,1,2026-07-01 18:30:00
9.99,Entertainment,Netflix,20,1,2026-07-01 20:00:00
2750.00,Travel,CryptoExchange,2,2,2026-07-02 02:30:00
55.00,Transport,Uber,22,2,2026-07-02 22:10:00
1500.00,Entertainment,Offshore Casino,1,3,2026-07-03 01:00:00
89.99,Bills,Verizon,10,3,2026-07-03 10:00:00
15.00,Entertainment,Spotify,9,3,2026-07-03 09:00:00
890.00,Food,Luxury Dining,23,4,2026-07-04 23:45:00
67.50,Groceries,Trader Joes,17,4,2026-07-04 17:45:00
12.99,Food,Dominos,19,4,2026-07-04 19:20:00
2750.00,Travel,CryptoExchange,2,5,2026-07-05 02:30:00
45.00,Transport,Lyft,23,5,2026-07-05 23:05:00
210.00,Shopping,Target,15,5,2026-07-05 15:30:00
1500.00,Entertainment,Offshore Casino,1,6,2026-07-06 01:00:00
8.50,Food,McDonalds,12,6,2026-07-06 12:00:00
99.00,Entertainment,AMC Theatres,21,6,2026-07-06 21:00:00
3200.00,Bills,Shell Company LLC,4,7,2026-07-07 04:00:00
175.00,Bills,Electric Co,10,7,2026-07-07 10:00:00
42.00,Transport,Shell Gas,16,7,2026-07-07 16:20:00
5200.00,Shopping,Offshore Goods,3,8,2026-07-08 03:00:00
28.00,Food,Panera Bread,11,8,2026-07-08 11:30:00
19.99,Entertainment,Apple Music,20,8,2026-07-08 20:00:00
9800.00,Travel,Foreign Wire Transfer,2,9,2026-07-09 02:00:00
35.00,Food,Chick-fil-a,12,9,2026-07-09 12:15:00
95.00,Shopping,Walmart,13,9,2026-07-09 13:00:00
4500.00,Shopping,Unknown Vendor,4,10,2026-07-10 04:00:00
63.25,Bills,Internet Bill,10,10,2026-07-10 10:00:00
27.50,Food,Panda Express,18,10,2026-07-10 18:30:00
7500.00,Travel,Offshore Gaming,1,11,2026-07-11 01:00:00
41.00,Transport,Uber,21,11,2026-07-11 21:45:00
18.25,Food,Taco Bell,19,11,2026-07-11 19:00:00
3200.00,Bills,Shell Company LLC,4,12,2026-07-12 04:00:00
120.00,Groceries,Safeway,10,12,2026-07-12 10:30:00
14.99,Entertainment,Hulu,20,12,2026-07-12 20:00:00
6300.00,Shopping,Phantom Electronics,3,13,2026-07-13 03:00:00
52.00,Bills,Water Bill,10,13,2026-07-13 10:00:00
29.99,Food,Subway,12,13,2026-07-13 12:00:00
8900.00,Travel,Foreign Exchange,2,14,2026-07-14 02:00:00
78.50,Shopping,Best Buy,15,14,2026-07-14 15:00:00
33.00,Food,Wendys,13,14,2026-07-14 13:30:00
