amount,category,merchant,hour,day,timestamp,is_anomaly
243.97,Travel,Rapido,12,0,2026-06-01 12:00:00,0
92.08,Food,Local Cafe,19,6,2026-06-02 19:00:00,0
1164.61,Bills,PhonePe,14,3,2026-06-03 14:00:00,0
180.79,Shopping,Myntra,13,0,2026-06-04 13:00:00,0
184.48,Shopping,Meesho,7,3,2026-06-05 07:00:00,0
535.54,Bills,Airtel,13,2,2026-06-06 13:00:00,0
617.17,Shopping,Myntra,10,0,2026-06-07 10:00:00,0
256.87,Shopping,Ajio,13,5,2026-06-08 13:00:00,0
700.14,Shopping,Myntra,17,3,2026-06-09 17:00:00,0
1054.85,Bills,Paytm,14,6,2026-06-10 14:00:00,0
10.31,Entertainment,Hotstar,20,5,2026-06-11 20:00:00,0
240.51,Shopping,Flipkart,9,2,2026-06-12 09:00:00,0
592.05,Shopping,Myntra,14,1,2026-06-13 14:00:00,0
150.66,Food,Zomato,22,6,2026-06-14 22:00:00,0
233.36,Food,KFC,13,6,2026-06-15 13:00:00,0
285.77,Entertainment,JioCinema,6,6,2026-06-16 06:00:00,0
216.28,Entertainment,YouTube,7,5,2026-06-17 07:00:00,0
10.0,Entertainment,Spotify,22,0,2026-06-18 22:00:00,0
473.4,Bills,GooglePay,10,4,2026-06-19 10:00:00,0
259.0,Food,Zomato,14,2,2026-06-20 14:00:00,0
1090.94,Bills,Paytm,20,0,2026-06-21 20:00:00,0
144.75,Food,Zomato,22,3,2026-06-22 22:00:00,0
453.1,Shopping,Meesho,11,1,2026-06-23 11:00:00,0
10.0,Entertainment,Netflix,18,5,2026-06-24 18:00:00,0
10.0,Food,Dominos,21,5,2026-06-25 21:00:00,0
634.74,Bills,Airtel,13,2,2026-06-26 13:00:00,0
227.67,Entertainment,Netflix,21,1,2026-06-27 21:00:00,0
51.08,Food,Swiggy,18,5,2026-06-28 18:00:00,0
577.41,Shopping,Flipkart,11,1,2026-06-29 11:00:00,0
10.0,Food,Dominos,18,4,2026-06-30 18:00:00,0
84.0,Food,Swiggy,9,0,2026-07-01 09:00:00,0
10.0,Food,Swiggy,8,5,2026-07-02 08:00:00,0
169.48,Food,Swiggy,12,4,2026-07-03 12:00:00,0
196.98,Shopping,Amazon,21,6,2026-07-04 21:00:00,0
884.64,Travel,Ola,7,0,2026-07-05 07:00:00,0
123.82,Entertainment,Spotify,10,5,2026-07-06 10:00:00,0
321.5,Travel,Rapido,18,2,2026-07-07 18:00:00,0
114.64,Shopping,Ajio,13,0,2026-07-08 13:00:00,0
4500.0,Shopping,Unknown Merchant,2,2,2026-07-09 02:00:00,1
3500.0,Bills,Unknown Merchant,4,1,2026-07-10 04:00:00,1
789.33,Bills,GooglePay,15,1,2026-07-11 15:00:00,0
176.75,Food,Swiggy,15,2,2026-07-12 15:00:00,0
201.63,Entertainment,Netflix,22,5,2026-07-13 22:00:00,0
745.29,Bills,Jio,8,4,2026-07-14 08:00:00,0
75.57,Travel,Rapido,15,0,2026-07-15 15:00:00,0
773.11,Bills,Jio,19,4,2026-07-16 19:00:00,0
51.99,Bills,Paytm,18,2,2026-07-17 18:00:00,0
1200.0,Food,Swiggy,14,2,2026-07-18 14:00:00,1
202.04,Entertainment,YouTube,11,5,2026-07-19 11:00:00,0
86.29,Food,Local Cafe,16,5,2026-07-20 16:00:00,0
592.97,Shopping,Meesho,6,2,2026-07-21 06:00:00,0
286.99,Shopping,Myntra,10,6,2026-07-22 10:00:00,0
8500.0,Food,Unknown Merchant,3,5,2026-07-23 03:00:00,1
166.19,Food,Swiggy,22,5,2026-07-24 22:00:00,0
310.04,Entertainment,Hotstar,14,6,2026-07-25 14:00:00,0
27.93,Food,Swiggy,7,2,2026-07-26 07:00:00,0
95.31,Entertainment,Spotify,14,4,2026-07-27 14:00:00,0
166.09,Food,KFC,12,2,2026-07-28 12:00:00,0
146.51,Food,Local Cafe,14,3,2026-07-29 14:00:00,0
19.84,Food,Dominos,22,2,2026-07-30 22:00:00,0
165.37,Food,KFC,20,1,2026-07-31 20:00:00,0
570.68,Shopping,Myntra,13,6,2026-08-01 13:00:00,0
326.33,Food,Local Cafe,22,5,2026-08-02 22:00:00,0
610.0,Shopping,Flipkart,10,1,2026-08-03 10:00:00,0
266.18,Food,Zomato,14,4,2026-08-04 14:00:00,0
6000.0,Entertainment,Unknown Merchant,1,1,2026-08-05 01:00:00,1
194.25,Food,Local Cafe,19,1,2026-08-06 19:00:00,0
454.78,Entertainment,JioCinema,7,3,2026-08-07 07:00:00,0
216.94,Entertainment,JioCinema,16,4,2026-08-08 16:00:00,0
227.79,Food,Swiggy,9,1,2026-08-09 09:00:00,0
308.62,Entertainment,Netflix,15,5,2026-08-10 15:00:00,0
422.45,Bills,PhonePe,16,5,2026-08-11 16:00:00,0
346.12,Food,Swiggy,19,3,2026-08-12 19:00:00,0
219.23,Food,Dominos,9,1,2026-08-13 09:00:00,0
268.5,Shopping,Myntra,8,2,2026-08-14 08:00:00,0
423.75,Shopping,Meesho,7,1,2026-08-15 07:00:00,0
399.29,Bills,Jio,6,2,2026-08-16 06:00:00,0
617.48,Bills,Paytm,8,1,2026-08-17 08:00:00,0
231.92,Entertainment,YouTube,18,3,2026-08-18 18:00:00,0
946.26,Bills,Jio,18,4,2026-08-19 18:00:00,0
974.01,Bills,Paytm,21,4,2026-08-20 21:00:00,0
165.28,Food,Swiggy,19,1,2026-08-21 19:00:00,0
518.45,Shopping,Amazon,13,4,2026-08-22 13:00:00,0
19.81,Entertainment,Netflix,11,3,2026-08-23 11:00:00,0
163.75,Food,Zomato,7,3,2026-08-24 07:00:00,0
117.48,Food,Swiggy,22,5,2026-08-25 22:00:00,0
110.44,Food,Local Cafe,9,2,2026-08-26 09:00:00,0
274.16,Entertainment,Spotify,19,0,2026-08-27 19:00:00,0
62.16,Food,Dominos,11,1,2026-08-28 11:00:00,0
697.47,Shopping,Meesho,19,0,2026-08-29 19:00:00,0
634.56,Shopping,Myntra,20,4,2026-08-30 20:00:00,0
467.29,Travel,Rapido,18,2,2026-08-31 18:00:00,0
183.18,Food,KFC,11,6,2026-09-01 11:00:00,0
